,Post_Content,Date,Comments_Shares,All_Responses,Brand
276,"Three easy meals to make midweek cooking that little bit easier! Find all the recipes below.
- Baked Pollock with courgette and spinach: http://bit.ly/2yIaNc2
- Sweet potato hash with baked eggs: http://bit.ly/2ygZZ49...
See More","October 19, 2017",468 Comments805 Shares607K Views,2.2K,waitroseandpartners
278,"Have you tried our wide range of delicious and nutritious recipes boxes?
Cook Well from Waitrose makes healthy eating easy with fresh ingredients delivered straight to your door.
For 25% off your first order, use the code: PEPPER25...
See More","October 18, 2017",30 Comments12 Shares,155,waitroseandpartners
280,"Scrumptious peanut butter cookies using essential Waitrose ingredients!
Get the full recipe: http://bit.ly/2yfKpWc","October 17, 2017","1.2K Comments1,951 Shares500K Views",4.3K,waitroseandpartners
282,"Enjoy essential Waitrose butternut squash roasted three delicious ways.
Tell us your favourite in the comments below.
- Garlic and rosemary mash: http://bit.ly/2z2LQoy...

See More","October 13, 2017",452 Comments499 Shares548K Views,1.5K,waitroseandpartners
286,"Make the most of the season's most versatile fruit – essential Waitrose British apples!
Which recipe is your favourite?
French toast - http://bit.ly/2xjiu4Z...
See More","October 6, 2017","577 Comments1,673 Shares1.8M Views",4.9K,waitroseandpartners
288,"Discover our edited range of classic wines with brilliant quality and fair prices. Each wine is designed to perfectly complement different and delicious dishes.
Shop in store or take a look online at Waitrose Cellar: http://bit.ly/2xQpAxW","October 4, 2017",9 Comments10 Shares,92,waitroseandpartners
292,"Dinner time made simple with our easy essential Waitrose traybake recipes! Which of these delicious dishes will you choose?
Mediterranean chicken: http://bit.ly/2fcVRXL
Sausages, potato and pepper: http://bit.ly/2fmoHVq...
See More","September 28, 2017","3.2K Comments6,490 Shares1.8M Views",13K,waitroseandpartners
294,"Who doesn’t love a warming bowl of pasta? Try one of our delicious recipes using essential Waitrose pasta, just 86p! Recipes below.
- Chilli garlic spaghetti: http://bit.ly/2eOMkJE
- Smoky bacon and tomato pasta: http://bit.ly/2eJoStN...
See More","September 27, 2017","612 Comments1,163 Shares445K Views",2.6K,waitroseandpartners
296,"It’s #PuddingWeek on the Great British Bake Off!
Master the perfect chocolate fondant with Ian Haste’s delicious gluten-free recipe.","September 26, 2017",260 Comments,630,waitroseandpartners
298,"Watch our three quick recipes using essential Waitrose sweet potatoes. Comment below and let us know which one you want to try.
Sweet potato rosti: http://bit.ly/2xks6hr
Sweet potato on toast: http://bit.ly/2w5BMt4...
See More","September 25, 2017",205 Comments221 Shares45K Views,697,waitroseandpartners
300,"Three easy ways to cook our essential Waitrose British beef. Which one will you try?
- Lime and chilli tacos: http://bit.ly/2hdYKf7
- Greek-style pasta bake: http://bit.ly/2xaPcYD
- American-style meatloaf: http://bit.ly/2hcTGaJ","September 21, 2017",215 Comments443 Shares409K Views,1.1K,waitroseandpartners
302,"Watch Martha Collison's scrumptious recipe for nutty chocolate babka – a rich and sticky Eastern European bread that’s best enjoyed warm.
Full recipe: http://bit.ly/2eJRPWl","September 19, 2017",376 Comments382 Shares343K Views,1.8K,waitroseandpartners
304,"Master a classic fluffy Victoria sponge with our simple recipe layered with homemade raspberry jam and whipped cream.
Get the recipe here: http://bit.ly/2vwXvxW","September 10, 2017","539 Comments1,491 Shares508K Views",4K,waitroseandpartners
306,"Watch Martha’s indulgent recipe for malted millionaire slices with swirled white and dark chocolate!
Get the recipe: http://bit.ly/2v9u051","September 3, 2017",312 Comments297 Shares66K Views,1K,waitroseandpartners
308,"Try one of these super quick and easy pizza ideas for dinner tonight.
Get the barbecue pork pizza recipe here: http://bit.ly/2wqGc1a","September 1, 2017",26 Comments16 Shares19K Views,90,waitroseandpartners
312,"Don’t miss out!
Save 25% on all wine and Champagne when you buy 3 bottles or more.
Available in store or online: ...
See More","August 30, 2017",64 Comments98 Shares,310,waitroseandpartners
314,"Enjoy this summer’s most popular cocktail recipe, Frosé! It’s simple to make and friends will love it.
Get the recipe: http://bit.ly/2ufYJc5
#waitrosé...
See More","August 26, 2017",418 Comments300 Shares251K Views,1.1K,waitroseandpartners
316,"It's national burger day, which one of these delicious burger ideas will you try?
- Crispy onion rings and blue cheese
- Cajun-spiced with avocado salsa
- Italian-style with pesto and mozzarella","August 24, 2017",405 Comments300 Shares372K Views,1K,waitroseandpartners
318,Quick and simple fishcakes packed with zesty Thai-inspired flavours – try this delicious dish for dinner tonight: http://bit.ly/2vVmJWx,"August 15, 2017",23 Comments36 Shares12K Views,197,waitroseandpartners
320,"Watch our three simple summer salad recipes. Comment below and tell us which one is your favourite.
Edamame & bulgur salad: http://bit.ly/2v404Gz
Vietnamese chicken salad: http://bit.ly/2w6iRhi...
See More","August 13, 2017",29 Comments58 Shares17K Views,237,waitroseandpartners
322,"We’ve joined forces with the Marine Conservation Society to help fund over 1000 beach and river clean-ups across the UK next year
Find out more: http://bit.ly/2hRhot4","August 11, 2017",44 Comments143 Shares22K Views,490,waitroseandpartners
324,"Who’s excited for our first summer festival?
Book your tickets for a fantastic family day out. Come along and watch our cookery experts in action with hands-on masterclasses and activities for the kids: http://bit.ly/2uxOjUG","August 11, 2017",18 Comments8 Shares,110,waitroseandpartners
326,"30-day dry aged Côte De Boeuf, topped with a herb butter, sliced thickly and served with seasoned chips.
Enjoy 25% off our entire Waitrose 1 range, the very best of Waitrose: http://bit.ly/2vddXQu","August 10, 2017",1.4K Comments529 Shares636K Views,3.8K,waitroseandpartners
328,"Win 1 of 5 pairs of Saturday tickets to The Big Feastival! Simply tag a friend in the comments below for a chance to win.
We'll also be there serving delicious food for breakfast, lunch and dinner in our Festival Kitchen.
T&Cs: http://bit.ly/2ubb0T9","August 9, 2017",1.6K Comments574 Shares,8.9K,waitroseandpartners
330,"Enjoy 25% off everything from our Waitrose 1 range, including our irresistibly smooth chocolate and hazelnut Italian gelato.
Try these ice cream sandwiches this weekend!
Get the full recipe: http://bit.ly/2w5ZRzr","August 5, 2017",317 Comments614 Shares576K Views,2.2K,waitroseandpartners
332,"Have you got your tickets for our first summer festival?
Join us on our farm in Leckford, Hampshire for a day of unforgettable flavours and inspiration. Meet the people who make our food, watch our cookery experts in action and take part in hands-on materclasses for the whole family.
Get your tickets here: http://bit.ly/2tooxVm","August 4, 2017",119 Comments123 Shares197K Views,973,waitroseandpartners
334,"Only 3 weeks until our Summer Festival on our farm in Leckford, Hampshire! Get your tickets here: http://bit.ly/2u4Kh7k
Expect a day of unforgettable flavours and inspiration. Watch our cookery experts in action and take part in hands-on masterclasses and activities for the whole family.","July 29, 2017",92 Comments193 Shares,2.4K,waitroseandpartners
338,"Enjoy seasonal courgettes three different ways. Which one will you try? Recipes below.
Courgetti with avocado pesto: http://bit.ly/2tLptTY
Caramelised with bacon: http://bit.ly/2ucbo2P","July 26, 2017","836 Comments2,018 Shares466K Views",3.6K,waitroseandpartners
340,"WIN 1 of 20 Sunday family tickets for the Waitrose Summer Festival. Simply tag a friend in the comments below for a chance to win.
Expect a day of unforgettable flavours and inspiration. Watch our cookery experts in action and take part in hand-on masterclasses and activities for the whole family.
Find out more and read our T&Cs: http://bit.ly/2tsRq4D","July 24, 2017",535 Comments56 Shares,388,waitroseandpartners
342,"Irresistible Portuguese beef skewers with chorizo and pickled asparagus – a great barbecue recipe that’s packed with flavour!
Read the recipe: http://bit.ly/2ud0uZV","July 22, 2017",202 Comments313 Shares351K Views,993,waitroseandpartners
344,"Come along to the Waitrose Summer Festival on our farm in Leckford, Hampshire with celebrity chefs, cooking workshops and family activities.
View the line-up and get your tickets here: http://bit.ly/2tooxVm","July 15, 2017",110 Comments176 Shares155K Views,1.2K,waitroseandpartners
346,"Our award-winning Valdo Oro Puro Prosecco, only £8.99.
Shop in store or online for a third off selected Champagne and sparkling wine: http://bit.ly/2tJscf7
drinkaware.co.uk for the facts.","July 14, 2017",135 Comments132 Shares339K Views,1.6K,waitroseandpartners
348,"Watch how to make our fresh British cherry pavlova topped with whipped cream and cherry syrup.
We are the only supermarket to guarantee that all our UK fresh fruit and vegetable growers are LEAF Marque certified to ensure strong environmental standards.
Recipe: http://bit.ly/2ssV8q6","July 8, 2017",343 Comments817 Shares427K Views,2.9K,waitroseandpartners
350,"Save a third on Esprit de Buganay Rosé – only £7.29
Available in store and online: http://bit.ly/2sPKMjC
drinkaware.co.uk for the facts.","July 7, 2017",54 Comments40 Shares288K Views,671,waitroseandpartners
352,"All our UK fresh fruit and vegetable growers are LEAF Marque certified to ensure strong environmental standards. We are the only supermarket to guarantee this.
Find out more: http://bit.ly/2tMoL9C
#TheWaitroseWay","July 7, 2017",79 Comments152 Shares251K Views,1.1K,waitroseandpartners
354,"Watch three months in 30 seconds, as our cherry orchard blossoms and the fruit ripens before your eyes.
All our UK fresh fruit and vegetable growers are LEAF Marque certified to ensure strong environmental standards. We are the only supermarket to guarantee this.
Find out more: http://bit.ly/2tRf76n ...
See More","July 6, 2017",236 Comments940 Shares490K Views,5K,waitroseandpartners
356,"1 litre bottles of Pimm’s, only £12.
Available in store and online: http://bit.ly/2rXm8hf
drinkaware.co.uk for the facts.","June 30, 2017",462 Comments749 Shares,14K,waitroseandpartners
358,"Win weekend camping tickets to Cornbury Festival. Simply tag a friend that you’d take with you in the comments below.
We’ll also be at Cornbury this year with delicious food available for breakfast lunch and dinner at our Festival Kitchen.
Full terms: http://bit.ly/2txJI5q","June 24, 2017",1.4K Comments513 Shares,10K,waitroseandpartners
360,"Bombay Sapphire Gin 70cl, only £16.
Available in store and online: http://bit.ly/2s2EeO7
drinkaware.co.uk for the facts","June 24, 2017",246 Comments156 Shares448K Views,1.4K,waitroseandpartners
362,"All our fresh, frozen and prepared chicken comes from UK farms. We are the only supermarket to guarantee this.
Why not enjoy our simple recipe served with pomegranate couscous and rocket: http://bit.ly/2r8nt8R
#TheWaitroseWay","June 22, 2017","556 Comments1,654 Shares1M Views",4.3K,waitroseandpartners
364,"Organic Raspberry and lemon roulade – the ultimate summer dessert made with our Duchy Organic products.
Get the recipe: http://bit.ly/2sY1EGj","June 18, 2017",193 Comments342 Shares387K Views,1.9K,waitroseandpartners
366,"Whether it’s our fresh, frozen, or prepared chicken, it is all from UK farms.
We are the only supermarket to guarantee this.
Find out more: http://bit.ly/2s3KNnp...
See More","June 12, 2017",631 Comments740 Shares2M Views,8.6K,waitroseandpartners
368,"You’re invited to join us on our farm in Leckford, Hampshire as part of LEAF’s Open Farm Sunday event – it’s a brilliant day out for the family.
10am – 4pm, Sunday 11th June 2017.
Find out more: http://bit.ly/2roTxSF","June 9, 2017",10 Comments14 Shares,93,waitroseandpartners
370,"Slow roasted, layered on bruschetta or in summer gazpacho - which delicious serving suggestion will you try? Recipes below.
Slow roasted cherry tomatoes: http://bit.ly/2s8MjFb
Bruschetta with tomato and rocket: http://bit.ly/2rVguzK...
See More","June 8, 2017",97 Comments311 Shares415K Views,1.2K,waitroseandpartners
372,"Planning a barbecue this weekend? Try our Bajan fish kebab recipe and serve with a fiery pepper sauce.
Recipe: http://bit.ly/2r43mau","June 3, 2017",32 Comments27 Shares14K Views,138,waitroseandpartners
374,"Kick-start the weekend with our Dirty Margarita recipe. Finish with the all-important sea-salt garnish and a few chilli slices.
Recipe: http://bit.ly/2qqvb8Y","June 2, 2017",82 Comments88 Shares31K Views,289,waitroseandpartners
376,"Watch our Instagram Story today to see how our watercress is grown, cared for and harvested in Hampshire: http://bit.ly/2sqWDVm
Our supplier has been growing watercress since the 1850’s and we have been working with them for several decades.
#TheWaitroseWay","June 1, 2017",12 Comments31 Shares14K Views,172,waitroseandpartners
