,Date,Brand,Post_Content,All_Responses,Comments,Shares,Views,Contains_Link,Contains_Video
163,"December 20, 2017",Sainsburys,How cute are Sainsbury’s magazine’s chocolate sprout truffles? They make a fun last-minute edible gift. Get the recipe: http://bit.ly/2yCDOkP,496,185,109,101000,True,True
164,"December 19, 2017",Sainsburys,Treat Santa to a well-deserved mince-pie break this Christmas Eve. See how to set up for the big man here: http://bit.ly/2ALMw6n,176,27,3,0,True,False
165,"December 19, 2017",Sainsburys,Everyone gather around the telly. 👑 📺 Can you guess the festive moment?,76,125,10,29000,False,True
166,"December 18, 2017",Sainsburys,Try baking your roasties as a CAKE to serve with your Christmas dinner. Get the Sainsbury’s magazine recipe: http://bit.ly/2yCa07Q,527,575,128,111000,True,True
167,"December 16, 2017",Sainsburys,We wouldn't have it any other way 😊,330,33,31,111000,False,True
168,"December 15, 2017",Sainsburys,"Happy Friday! This is sure to get you dancing into the weekend. #everybitofChristmas with a reggae twist, thanks Tree House Fire 🎶",514,46,246,55000,False,True
169,"December 15, 2017",Sainsburys,Our Deliciously FreeFrom gluten-free mince pies have been crowned a winner at this year’s Good Housekeeping Christmas Taste Tests. 👑 Get yours now: http://bit.ly/2CubFzG,90,21,8,51000,True,True
170,"December 14, 2017",Sainsburys,"Are you a serious gift wrapper or more of a bosh-it-in-a-bag type? Either way, it couldn’t be easier to do present wrapping like a pro with this totally simple technique: http://bit.ly/2k6rbta",199,73,47,186000,True,True
171,"December 13, 2017",Sainsburys,🎶Deck the halls with gingerbread baubles…🎶 We wonder how many of these yummy biscuits will make it onto the tree? Get the Sainsbury’s magazine recipe: http://bit.ly/2B0Jn1L,193,21,38,16000,True,True
172,"December 12, 2017",Sainsburys,It's blooper time! We're absolutely OBSESSED with this http://bit.ly/2nSo6C2,2800,1400,647,442000,True,True
173,"December 12, 2017",Sainsburys,Your favourite festive tipple + chocolate = Sainsbury’s magazine’s sparkly Baileys roulade! Get the recipe: http://bit.ly/2B0EuWo,1300,843,544,117000,True,True
174,"December 8, 2017",Sainsburys,It’s beginning to look a lot like Christmas! Sainsbury’s magazine’s December issue is bursting with festive ideas and 53 new recipes. Get your copy NOW! http://bit.ly/2kEyDjb,203,37,10,26000,True,True
175,"December 7, 2017",Sainsburys,This Terry’s Chocolate Orange trifle will be your festive pud of the year – and it’s ready in 25 minutes. Get the Sainsbury’s magazine recipe here: http://bit.ly/2AWEMh9,19000,17000,16649,1300000,True,True
176,"December 5, 2017",Sainsburys,Want to know how we do Christmas table dressing? Discover our festive decor tips here: http://bit.ly/2ApwePg,145,13,9,0,True,False
177,"December 4, 2017",Sainsburys,How do you make your cheese on toast? Vote now!,86,76,19,0,False,False
178,"December 4, 2017",Sainsburys,Snapchat obsessed? Sprout fan? Christmas has come early for you with our #SingSprout Snapchat lens! http://bit.ly/2Apw6iK,479,467,217,161000,True,True
179,"December 2, 2017",Sainsburys,Ever wondered how you’d look as a giant Brussels sprout? Us too. Use our #SingSprout Snapchat Lens today! 😂,335,380,123,90000,False,True
180,"December 1, 2017",Sainsburys,In need of a quick fix to update your holiday décor? Here's how to decorate for Christmas in style… http://bit.ly/2jubBXY,293,46,10,0,True,False
181,"November 30, 2017",Sainsburys,"We’re loving your versions of #everybitofChristmas and we can’t wait to see more. Here’s karaoke royalty Amelia, Ella, Asta and Henry 👌🎄 😃",90,13,13,48000,False,True
182,"November 29, 2017",Sainsburys,"Take a gingerbread man cutter, turn it upside down and make Sainsbury’s magazine’s fun reindeer jammy dodgers. Get the recipe http://bit.ly/2A0YeZ4",2800,785,1137,173000,True,True
183,"November 28, 2017",Sainsburys,Shout out to all the busy parents this Christmas 😉,554,85,43,309000,False,True
184,"November 27, 2017",Sainsburys,"Inspired by The Nutcracker’s Sugar Plum Fairy, Sainsbury’s magazine’s showstopping cheesecake is the ultimate Christmas party piece. Get the recipe: http://bit.ly/2As3OVE",136,9,15,0,True,False
185,"November 24, 2017",Sainsburys,Guess the secret ingredient in this spag bol. Get the RECIPE: http://bit.ly/2yo6wqa,153,193,19,0,True,False
186,"November 23, 2017",Sainsburys,You’ve got to love a Gospel Choir at this time of year 🎵👌 #everybitofChristmas,197,24,11,275000,False,True
187,"November 22, 2017",Sainsburys,Plenty of toys and treats for little ones in our festive gift guide 🎁: http://bit.ly/2AN2oRx,85,12,7,0,True,False
188,"November 21, 2017",Sainsburys,Candy canes make a fun festive gift. Make your own with Sainsbury’s magazine’s easy recipe: http://bit.ly/2AOJycN,660,279,332,99000,True,True
189,"November 17, 2017",Sainsburys,"3 delicious flavours of all butter Taste the Difference cookies, sealed with your own personalised message. Available now for £8.50. Bosh 🍪 http://bit.ly/2AW7cVG",185,55,25,63000,True,True
190,"November 12, 2017",Sainsburys,We’ve crammed #everybitofChristmas into our ad this year. Fancy a sing-along? 🎤,3900,1300,1469,1100000,False,True
191,"November 11, 2017",Sainsburys,"Meet Sainsbury’s magazine’s stollen Christmas cake – studded with sweet chunks of marzipan and gently spiced, it may well become your new fave festive cake. Get the recipe: http://bit.ly/2iH9KP9",818,179,245,0,True,False
192,"November 10, 2017",Sainsburys,Super easy + super tasty = the hot new veggie main on the festive block. Get Sainsbury's magazine's spiced parsnip and cashew strudel recipe: http://bit.ly/2yjHoRz,868,374,229,122000,True,True
193,"November 10, 2017",Sainsburys,Cheeeeeeeeese 👀 http://bit.ly/2j1inYM,2200,2000,638,393000,True,True
194,"November 9, 2017",Sainsburys,"Meet Julie, Andrew, Shaun, Kate, Allen and Nina. To anyone who has or is serving, volunteering, supporting, and to everyone at The Royal British Legion, from all of us at Sainsbury's - thank you.",1500,81,350,237000,False,True
195,"November 9, 2017",Sainsburys,Weekends are all about relaxing. But we like to do it in style: http://bit.ly/2zalGAI,199,22,3,0,True,False
196,"November 8, 2017",Sainsburys,"IT'S HEEERE 🎄 🍞
Brussels sprout slaw, stuffing, turkey and bacon all crammed in an actual star-studded brioche bun 🌟 Bosh.",728,540,104,145000,False,True
197,"November 4, 2017",Sainsburys,"If you didn't think brownies could get any better, wait until you try Sainsbury's magazine's epic Crunchie bar and salted caramel brownies. Get the recipe: http://bit.ly/2i7GQqY",4500,3000,1562,248000,True,True
198,"November 3, 2017",Sainsburys,Duvet dinner winner 👌,285,180,49,3600000,False,True
199,"November 3, 2017",Sainsburys,We have all the fixings for the cosiest bonfire night ever 🎉 http://bit.ly/2gH1FZY,266,15,9,0,True,False
200,"November 3, 2017",Sainsburys,"Start your Christmas planning with Sainsbury’s magazine. Get 48 recipes to see you through the festive season, plus a FREE foodie calendar, all in the November issue OUT NOW http://bit.ly/2i838cb",427,77,34,49000,True,True
201,"November 2, 2017",Sainsburys,"Good news for old £1 coins, we’re collecting them in stores in support of the Poppy Appeal 🎉",2000,166,768,232000,False,True
202,"November 2, 2017",Sainsburys,Thought vinegar was the secret ingredient to perfect poached eggs? Think again…,333,241,78,286000,False,True
203,"October 31, 2017",Sainsburys,Peeling ginger like a pro 👏,242,151,37,72000,False,True
204,"October 29, 2017",Sainsburys,For storing treasures…or chucking your keys. Discover the inspiration behind the design of our latest collection: http://bit.ly/2zCSiCU,182,19,4,0,True,False
205,"October 27, 2017",Sainsburys,Beware of the ghost pavlooooova! The Sainsbury’s magazine recipe’s coming to get yooooou... http://bit.ly/2zCPJRw,425,46,77,73000,True,True
206,"October 26, 2017",Sainsburys,What’s your “favourite” dish? 😂,1400,1500,212,442000,False,True
207,"October 26, 2017",Sainsburys,We've all been there...🎃 👻,68000,16000,35294,5400000,False,True
208,"October 25, 2017",Sainsburys,"💕BEETROOT💕 souffle, anyone? Get the recipes here http://bit.ly/2gEFrrv",1200,1100,348,349000,True,True
209,"October 24, 2017",Sainsburys,These bone shaped loaves are filled with melting mozzarella and roasted garlic to ward off any vampires that might be hanging around your Halloween feast. Get the Sainsbury's magazine recipe: http://bit.ly/2zCOsKc,165,30,23,0,True,False
210,"October 24, 2017",Sainsburys,No pumpkin? No problem 👻,4200,2700,942,473000,False,True
211,"October 22, 2017",Sainsburys,Turning your home into a spook-tacular haunted house this Halloween? http://bit.ly/2gfmKOH,162,23,9,0,True,False
212,"October 21, 2017",Sainsburys,Brioche + pears + custard = new twist on the classic bread and butter pud. Get the Sainsbury’s magazine recipe: http://bit.ly/2yl6kea,1000,206,225,0,True,False
213,"October 20, 2017",Sainsburys,The anticipation. The suspense. And then... YES - it’s spag bol for dinner! http://bit.ly/2zmHiJb,1300,1900,422,330000,True,True
214,"October 19, 2017",Sainsburys,Suddenly in the mood for banana bread? Yeah. Us too.,458,730,78,359000,False,True
215,"October 18, 2017",Sainsburys,You know you’ve all done the ‘coming home to dinner dance’. http://bit.ly/2zjmMsR,2000,2800,524,940000,True,True
216,"October 18, 2017",Sainsburys,Thought you couldn't have a vegan cheeseboard? Think again...,1800,1000,278,826000,False,True
217,"October 17, 2017",Sainsburys,There’s something spooky about the look of Sainsbury’s magazine’s mummified sausage pie… Get the recipe: http://bit.ly/2gfrtzV,236,84,48,71000,True,True
218,"October 15, 2017",Sainsburys,"Fiery cayenne, sweet beets or Punchy ginger? When you don’t know which one of our new mini juice shots to choose… have them all, they’re only £1 each.",363,93,20,201000,False,True
219,"October 15, 2017",Sainsburys,Butterscotch and banana self-saucing pudding? Pass the cream! Get the Sainsbury’s magazine recipe: http://bit.ly/2hR5pMn,1000,332,348,107000,True,True
220,"October 14, 2017",Sainsburys,"🌟🍳 The star shape makes them taste better, obviously",2300,1400,211,750000,False,True
221,"October 13, 2017",Sainsburys,There’s pretty much nothing a home-cooked meal can’t get you out of. http://bit.ly/2gesisG,1100,223,52,1000000,True,True
222,"October 13, 2017",Sainsburys,Moving day mavericks 🎉🍾 Genius,959,807,132,296000,False,True
223,"October 12, 2017",Sainsburys,"Say hello to the Dickers, the real-life family featuring in our latest home launch. From the morning routine to the perfect dinner time, here they talk everything home: http://bit.ly/2ggJnz8",106,22,7,0,True,False
224,"October 10, 2017",Sainsburys,"Love it or hate it, Marmite gives Sainsbury’s magazine’s beef pie a lovely rich flavour that’s hard to resist. Get the recipe: http://bit.ly/2gfzWjq",232,56,34,0,True,False
225,"October 9, 2017",Sainsburys,Meaty aubergines make this veggie biryani super-hearty. Get the Sainsbury’s magazine recipe: http://bit.ly/2gh0sZU,170,28,23,0,True,False
226,"October 7, 2017",Sainsburys,Cosy up with Sainsbury's Magazine's plum & blackberry crumble – the perfect post-roast pud. Get the recipe: http://bit.ly/2hIgi2Y,466,104,60,0,True,False
227,"October 6, 2017",Sainsburys,"Stylish barware… That's a good reason to celebrate, isn't it? 🍾 http://bit.ly/2gcMbgE",313,22,9,0,True,False
228,"October 5, 2017",Sainsburys,"Ever had this convo? Come on, we’ve all been there… http://bit.ly/2yqMLSS",1500,976,191,990000,True,True
229,"October 5, 2017",Sainsburys,Sooo satisfying 👀,2200,1900,338,504000,False,True
230,"October 3, 2017",Sainsburys,Clever cauli 👏 http://bit.ly/2fDVJEx,1300,646,300,408000,True,True
231,"October 2, 2017",Sainsburys,Celebrate pumpkin season being here with Sainsbury’s magazine’s cheesy pumpkin risotto. Get the recipe: http://bit.ly/2hHnn3X,413,97,52,0,True,False
232,"September 30, 2017",Sainsburys,John Whaite’s taken the flavour of marmalade on toast and popped it in a pudding! Get the Sainsbury’s magazine recipe: http://bit.ly/2yHJOKl,191,27,35,85000,True,True
233,"September 28, 2017",Sainsburys,Everyone’s favourite comfort food with a mar-mighty twist. Get Sainsbury’s magazine’s bangers with cheesy Marmite mash recipe: http://bit.ly/2hoFojB,1300,858,350,116000,True,True
234,"September 27, 2017",Sainsburys,When you receive that end of the day dinner message… 📱🍽😋,751,94,34,983000,False,True
235,"September 27, 2017",Sainsburys,"Get Sainsbury's magazine's October issue OUT NOW. Only £1, it's packed with 40 new recipes, including spooktacular Halloween ideas, hearty one-pots and delicious puds. http://bit.ly/2hnSL3z",252,36,17,29000,True,True
236,"September 26, 2017",Sainsburys,Have a miniature spa moment in your own home with our top tips to making the most of your bathroom: http://bit.ly/2hnZR8i,200,18,5,0,True,False
237,"September 24, 2017",Sainsburys,We sat down with the lovely Sainsbury's Home design team to chat about one of their favourite autumn collections: Woodland Walk. Here's what they had to say: http://bit.ly/2hf3i4P #SainsburysHome,325,60,16,0,True,False
238,"September 24, 2017",Sainsburys,"Chocolate for breakfast? Yes, really. Get Sainsbury’s magazine’s nutty Nutella granola bars recipe: http://bit.ly/2w2gpsJ",675,226,234,65000,True,True
239,"September 23, 2017",Sainsburys,"Rise’n’shine, there’s something sizzling.",34,11,4,11000,False,True
240,"September 22, 2017",Sainsburys,"Meet Reg, our 94 year-old colleague. 🎈",32000,2300,2674,924000,False,True
241,"September 20, 2017",Sainsburys,"Jazz up chicken breasts with cheese, chorizo and basil for an easy supper. Get the Sainsbury’s magazine recipe: http://bit.ly/2w2zk6A",864,208,175,0,True,False
242,"September 19, 2017",Sainsburys,Getting enough sleep? Are you Living Well? Take our quick quiz to see how well you score against the nation. 🇬🇧,223,68,45,0,False,False
243,"September 18, 2017",Sainsburys,Eat like a king for less than a fiver courtesy of Sainsbury’s magazine’s chilli tomato pasta and garlic dough balls – BARGAIN. Get the Sainsbury’s magazine recipe: http://bit.ly/2f4ywHy,198,23,19,0,True,False
244,"September 17, 2017",Sainsburys,"Roll up, roll up for Sainsbury’s magazine’s foolproof lemon Swiss roll! Pop the kettle on and grab a slice. Get the recipe: http://bit.ly/2vPtc1z",1300,223,390,104000,True,True
